Position,Level,Salary
Business Analyst,5,113967
Product Manager,4,83993
Software Engineer,5,114744
Partner,7,203323
Sales Director,8,300299
Content Strategist,3,55541
Senior Partner,7,196069
Product Manager,1,44557
C-level,8,298106
C-level,8,301716
Senior Partner,10,999020
Data Scientist,10,1002836
Junior Consultant,10,1003007
Operations Manager,7,201240
Data Scientist,1,47848
Software Engineer,7,196690
Operations Manager,7,195910
Junior Consultant,1,43425
Product Manager,2,53334
Product Manager,3,57144
Junior Consultant,7,195652
Marketing Specialist,2,52598
UX/UI Designer,4,82371
Financial Analyst,7,202409
Marketing Specialist,8,303840
Product Manager,8,303794
CEO,7,197774
Operations Manager,1,42240
Junior Consultant,6,148889
Operations Manager,4,84778
Operations Manager,1,48864
Financial Analyst,2,49249
Country Manager,3,59940
Junior Consultant,7,197344
Financial Analyst,2,47076
UX/UI Designer,6,149027
Software Engineer,1,49311
Data Scientist,10,998651
Partner,9,503225
Junior Consultant,1,46100
Content Strategist,8,295409
Country Manager,3,58859
Senior Consultant,3,64357
Product Manager,4,81617
Junior Consultant,1,42601
Content Strategist,2,53582
HR Manager,6,151224
Business Analyst,8,296663
Data Scientist,4,80941
UX/UI Designer,10,1003373
Region Manager,7,204313
Software Engineer,8,296767
Senior Partner,9,504944
Business Analyst,6,153990
C-level,6,150520
Content Strategist,3,62483
Product Manager,3,57898
Financial Analyst,10,996000
Product Manager,4,78703
C-level,1,42917
Manager,2,52416
CEO,9,495179
Data Scientist,5,113123
Data Scientist,6,149156
Region Manager,5,113034
Content Strategist,6,153995
Data Scientist,9,499356
Country Manager,4,79629
Operations Manager,4,81130
Senior Consultant,3,64230
UX/UI Designer,10,995930
Country Manager,3,64468
Country Manager,2,47537
C-level,9,504130
Region Manager,7,198713
Sales Director,10,1000074
Software Engineer,9,498053
Sales Director,6,153552
Junior Consultant,5,108765
Country Manager,10,1000235
Software Engineer,1,49992
Financial Analyst,9,500778
Content Strategist,2,53137
Senior Consultant,4,83509
Junior Consultant,8,299953
Senior Partner,10,996196
Sales Director,3,60054
HR Manager,7,198067
C-level,2,46064
Financial Analyst,1,47003
UX/UI Designer,4,76718
Junior Consultant,4,78680
Data Scientist,1,49302
Data Scientist,7,198474
C-level,1,41940
Junior Consultant,9,498757
Senior Consultant,1,40749
Financial Analyst,5,114303
Product Manager,1,44447
Software Engineer,2,48258
UX/UI Designer,9,501622
Partner,4,79773
Country Manager,5,112372
Operations Manager,1,40702
Software Engineer,5,105189
Software Engineer,6,154506
Senior Consultant,8,301202
UX/UI Designer,4,75609
Product Manager,3,63188
CEO,5,110271
Marketing Specialist,4,80675
Junior Consultant,10,1001610
Sales Director,8,301922
Country Manager,3,61447
Senior Consultant,1,48959
Sales Director,5,107435
Content Strategist,8,304317
CEO,6,152806
Junior Consultant,8,296440
Marketing Specialist,4,75980
Region Manager,1,42757
Software Engineer,8,297135
Content Strategist,3,64428
Content Strategist,2,45578
Senior Partner,4,84059
Sales Director,8,295824
Marketing Specialist,10,1003228
Product Manager,6,145933
CEO,5,108409
Data Scientist,6,151548
Data Scientist,10,998388
UX/UI Designer,6,152553
Data Scientist,4,83213
Country Manager,3,64582
Country Manager,10,1002545
Junior Consultant,2,53453
Product Manager,3,55230
Senior Partner,7,200979
Data Scientist,5,106910
Senior Partner,5,109884
Junior Consultant,1,47850
HR Manager,5,110398
HR Manager,1,40895
Product Manager,9,497326
Manager,10,1003370
Junior Consultant,10,998527
Country Manager,2,50692
Senior Partner,7,204357
Country Manager,1,47354
Marketing Specialist,2,49336
Region Manager,5,114590
Content Strategist,7,202012
Product Manager,3,60282
Region Manager,9,498968
HR Manager,1,43036
Partner,6,146370
Region Manager,8,304080
CEO,8,300895
Senior Partner,8,297308
Manager,10,996943
CEO,4,77764
Data Scientist,6,154173
Product Manager,4,78898
Region Manager,4,84507
Senior Partner,10,1000565
Manager,7,203309
HR Manager,5,110918
Country Manager,5,112174
Product Manager,9,497198
Senior Consultant,9,501627
Business Analyst,2,54416
Sales Director,7,203376
Business Analyst,7,203485
Sales Director,3,59868
Junior Consultant,4,75699
Software Engineer,1,43681
Senior Consultant,8,299538
HR Manager,9,501467
Junior Consultant,5,108669
Region Manager,8,296451
Marketing Specialist,3,56211
Sales Director,5,114334
Partner,1,41975
CEO,1,47955
Region Manager,7,197655
Partner,1,40773
Partner,3,59056
Sales Director,9,502249
Senior Consultant,4,77246
CEO,5,107512
Data Scientist,2,45453
Manager,8,295802
Product Manager,6,154720
Senior Partner,3,56413
Region Manager,1,44483
Marketing Specialist,5,109242
Region Manager,1,47005
CEO,2,52150
Financial Analyst,8,302869
C-level,4,76871
Operations Manager,6,153062
Manager,1,47340
C-level,9,499282
CEO,9,504249
Software Engineer,1,40262
C-level,4,82846
Senior Partner,2,53573
UX/UI Designer,6,146252
Content Strategist,7,200584
Country Manager,9,504120
Content Strategist,7,204552
Business Analyst,4,79148
C-level,5,106333
Software Engineer,6,151149
Software Engineer,5,114965
UX/UI Designer,5,108761
Junior Consultant,2,53462
UX/UI Designer,9,500111
Senior Consultant,7,201363
Financial Analyst,9,495371
Manager,9,497142
Partner,6,151436
Region Manager,5,109519
Sales Director,2,46362
Content Strategist,10,998636
Marketing Specialist,10,1003272
Junior Consultant,6,146575
Senior Consultant,7,204822
Senior Partner,2,53257
Region Manager,1,40694
UX/UI Designer,4,75319
Country Manager,6,149495
Sales Director,1,42851
Software Engineer,10,996733
Marketing Specialist,6,153896
Region Manager,6,150649
Manager,7,198405
Business Analyst,7,203812
Content Strategist,6,151826
Financial Analyst,3,64170
CEO,6,151761
CEO,8,304446
Region Manager,1,44521
C-level,6,145038
Partner,10,996166
Product Manager,5,109590
Content Strategist,9,498153
Business Analyst,9,504657
Senior Partner,3,61479
Marketing Specialist,5,106867
Manager,5,109092
Financial Analyst,6,151939
UX/UI Designer,6,150655
C-level,5,105529
Manager,1,49235
Country Manager,2,52245
Business Analyst,5,106527
Operations Manager,7,204331
Senior Consultant,4,75903
Financial Analyst,10,1000698
Senior Partner,7,204955
Sales Director,6,145273
Marketing Specialist,9,498919
Partner,6,148617
Partner,1,40511
Financial Analyst,6,150144
CEO,3,63717
Business Analyst,4,79366
Business Analyst,10,1000216
Financial Analyst,1,48211
Sales Director,6,152956
Business Analyst,5,105061
CEO,2,51235
Senior Partner,5,113539
CEO,2,50521
Manager,8,298945
Product Manager,10,1002105
UX/UI Designer,9,496951
Country Manager,6,147089
Country Manager,5,110058
Data Scientist,6,151443
Region Manager,2,51972
HR Manager,10,998864
Marketing Specialist,1,41347
Data Scientist,2,45838
CEO,7,200265
Financial Analyst,7,203141
Partner,9,504498
Sales Director,6,148594
Product Manager,4,78039
Partner,5,106382
UX/UI Designer,10,996879
Manager,1,45969
Region Manager,8,299123
Manager,3,56438
Manager,10,1000948
Junior Consultant,9,497263
Product Manager,6,147212
Senior Partner,3,55165
Marketing Specialist,1,41338
Product Manager,10,999750
Data Scientist,5,105414
Marketing Specialist,5,113258
Content Strategist,7,195383
Marketing Specialist,5,110294
HR Manager,2,50627
CEO,8,303880
Country Manager,3,57267
Region Manager,8,299299
Content Strategist,1,49523
Sales Director,3,58094
Sales Director,2,51679
Country Manager,5,113999
Content Strategist,10,1003531
Country Manager,8,300272
Partner,9,502348
CEO,4,75723
Financial Analyst,3,60565
UX/UI Designer,3,58198
Partner,6,150503
Partner,10,1000901
Software Engineer,10,1001103
Financial Analyst,1,45551
Financial Analyst,2,51735
Business Analyst,5,109714
Operations Manager,5,112999
Senior Consultant,7,202082
Partner,7,200620
Operations Manager,2,47087
HR Manager,3,55583
Senior Consultant,9,498661
UX/UI Designer,1,47265
Product Manager,5,112742
Sales Director,10,997649
Product Manager,3,62636
Operations Manager,5,105082
Senior Consultant,6,151201
C-level,7,197399
Sales Director,7,204591
Manager,8,304792
Senior Partner,8,301262
HR Manager,8,298591
Senior Consultant,10,997158
Content Strategist,4,78481
UX/UI Designer,10,1003291
Region Manager,3,61076
HR Manager,4,84181
Region Manager,3,60942
Product Manager,8,296813
Country Manager,4,80863
Content Strategist,10,1004633
Senior Partner,6,150772
HR Manager,3,55042
Sales Director,10,997187
Junior Consultant,3,63992
Financial Analyst,2,50936
C-level,6,149936
Operations Manager,10,1001828
HR Manager,7,196257
Content Strategist,6,151341
Sales Director,9,495696
Sales Director,4,82852
Product Manager,2,50795
CEO,4,75069
Junior Consultant,3,64915
Manager,2,49132
Content Strategist,6,148073
Product Manager,7,200550
Region Manager,10,999106
Country Manager,7,202758
C-level,1,44833
CEO,7,196649
Data Scientist,4,79320
C-level,3,61560
Data Scientist,5,105300
Operations Manager,9,501348
CEO,2,47377
Product Manager,1,40996
Business Analyst,8,301844
Content Strategist,8,301563
Product Manager,3,57780
Country Manager,7,201927
Senior Consultant,2,53358
Junior Consultant,3,56988
CEO,1,45360
Senior Partner,8,300381
Senior Partner,1,48955
Country Manager,9,496002
Senior Consultant,9,502157
Region Manager,8,298691
Partner,3,57375
Data Scientist,4,83358
Software Engineer,10,1004741
Software Engineer,4,80135
Sales Director,2,54438
Country Manager,2,50805
Operations Manager,2,49260
Business Analyst,3,60875
Data Scientist,4,84947
Senior Partner,1,49810
Marketing Specialist,10,995547
Software Engineer,3,57279
Sales Director,4,79922
Operations Manager,6,151407
Country Manager,1,40641
Data Scientist,5,114224
Partner,10,995919
Senior Partner,3,57901
Business Analyst,5,114194
Content Strategist,9,504791
Manager,4,84337
Data Scientist,6,148691
Financial Analyst,1,40617
Financial Analyst,4,82008
Country Manager,9,504261
C-level,9,504368
Region Manager,7,200000
Business Analyst,6,152401
Operations Manager,4,75878
Senior Consultant,4,78660
Manager,8,301303
Manager,4,80003
Data Scientist,10,1002364
Product Manager,4,82390
CEO,3,64185
Business Analyst,3,55495
Senior Consultant,9,503929
Sales Director,1,49822
Software Engineer,10,995209
Manager,1,40137
Partner,9,495204
Marketing Specialist,1,49076
Country Manager,4,83104
Country Manager,10,998320
Manager,4,82945
Data Scientist,10,1001854
Business Analyst,5,108637
Product Manager,7,195655
Marketing Specialist,4,77732
Country Manager,8,299500
Data Scientist,1,41461
Manager,7,198344
Content Strategist,10,1001492
Partner,5,113149
HR Manager,4,81156
Junior Consultant,8,304599
CEO,2,47409
Operations Manager,8,300780
Content Strategist,3,61784
Partner,2,49027
Region Manager,2,47710
Junior Consultant,6,150174
Data Scientist,1,44992
UX/UI Designer,6,151562
Data Scientist,1,41573
Sales Director,2,45334
Data Scientist,1,40456
Data Scientist,1,44093
HR Manager,2,47345
Manager,6,147546
Senior Consultant,10,1000197
Operations Manager,7,195184
Manager,10,996397
Software Engineer,3,57134
Business Analyst,1,42320
Sales Director,7,199042
Senior Consultant,2,45179
Manager,2,45540
Manager,3,62349
UX/UI Designer,2,45855
Junior Consultant,1,48055
Sales Director,2,50123
Senior Consultant,8,299750
Country Manager,3,60137
Data Scientist,8,304586
Operations Manager,6,145298
Software Engineer,4,84432
UX/UI Designer,8,300703
Sales Director,8,296411
Operations Manager,6,153221
Senior Consultant,7,195340
C-level,5,105273
Operations Manager,3,58228
Financial Analyst,6,150548
Data Scientist,7,203490
CEO,8,302858
Financial Analyst,6,154053
HR Manager,10,998933
Junior Consultant,6,146645
Country Manager,9,497821
Partner,2,48217
Operations Manager,8,296534
Software Engineer,10,1003760
UX/UI Designer,5,114401
Operations Manager,10,1001286
Marketing Specialist,7,195400
Senior Consultant,10,1001937
Sales Director,2,51918
Financial Analyst,3,56392
Marketing Specialist,3,58401
Data Scientist,3,57731
Partner,10,999964
Operations Manager,3,58454
HR Manager,9,501471
Data Scientist,2,51133
Partner,4,79563
C-level,3,64889
UX/UI Designer,6,147492
Software Engineer,4,84246
HR Manager,8,304330
Country Manager,10,1004677
Senior Partner,8,301778
Country Manager,1,47397
Software Engineer,2,53864
CEO,8,299186
Operations Manager,8,301133
Data Scientist,1,43429
Sales Director,3,55347
HR Manager,6,147696
Senior Consultant,4,76902
Manager,1,45863
Product Manager,5,105972
Software Engineer,9,497805
Financial Analyst,8,301488
Marketing Specialist,7,198189
Sales Director,1,47551
Sales Director,10,1003602
CEO,6,148363
Senior Partner,7,199712
Operations Manager,7,197766
Content Strategist,8,301399
Content Strategist,4,80168
Senior Consultant,10,1003751
Junior Consultant,6,152699
Partner,5,109894
Marketing Specialist,7,196106
Operations Manager,9,496771
Region Manager,8,304248
Manager,1,43536
Sales Director,2,48956
Sales Director,5,113109
Partner,10,997724
Content Strategist,9,503013
C-level,10,996384
Sales Director,10,1000314
CEO,9,496048
UX/UI Designer,7,201051
Manager,3,58969
Product Manager,9,501853
Partner,3,60199
C-level,9,497992
Senior Partner,5,113431
UX/UI Designer,5,110784
Operations Manager,5,113353
Content Strategist,10,998235
Content Strategist,7,200095
Manager,7,198667
HR Manager,7,196342
Country Manager,3,61980
UX/UI Designer,3,64616
Marketing Specialist,1,44460
Financial Analyst,6,149781
Manager,8,299967
Product Manager,1,45928
Financial Analyst,7,204151
Partner,8,302540
Region Manager,8,303754
UX/UI Designer,1,42910
Product Manager,9,499370
Financial Analyst,8,298964
Sales Director,1,46564
Manager,4,83999
Financial Analyst,7,198558
HR Manager,7,202046
CEO,3,56624
Financial Analyst,1,44737
Operations Manager,3,64957
Junior Consultant,2,50047
C-level,9,502688
Manager,6,145622
Country Manager,7,198707
C-level,7,201478
Country Manager,10,1001016
Senior Consultant,9,498474
Operations Manager,5,112500
Product Manager,1,47318
Content Strategist,3,64891
HR Manager,10,1001575
Country Manager,4,81343
Software Engineer,10,997257
HR Manager,5,109745
Manager,7,200650
Sales Director,2,52843
Operations Manager,9,496424
Region Manager,1,42352
HR Manager,10,1001607
Senior Consultant,9,496300
Data Scientist,5,110026
Data Scientist,5,105022
C-level,3,60729
Country Manager,4,81276
Content Strategist,7,201609
UX/UI Designer,5,113871
C-level,8,300954
Partner,9,497903
Operations Manager,1,45379
Junior Consultant,6,146133
Product Manager,3,57458
Software Engineer,10,1002337
CEO,5,113986
Operations Manager,9,498009
Junior Consultant,4,80900
Marketing Specialist,8,304019
Marketing Specialist,10,1003422
Junior Consultant,3,55596
Junior Consultant,1,49608
CEO,7,195784
CEO,9,501274
Business Analyst,1,49830
HR Manager,5,111956
Manager,9,502695
Senior Partner,8,304771
Junior Consultant,6,152304
UX/UI Designer,9,497381
Country Manager,5,114835
UX/UI Designer,9,501933
CEO,9,499879
Manager,7,200445
Operations Manager,1,44641
Content Strategist,2,49441
Senior Partner,7,203476
UX/UI Designer,8,296241
Data Scientist,7,202674
Partner,6,150836
Data Scientist,6,146784
Senior Partner,3,58440
Product Manager,1,42557
Data Scientist,3,64810
Sales Director,5,110702
Business Analyst,2,50777
Senior Consultant,7,197528
Marketing Specialist,10,998084
UX/UI Designer,2,46608
Data Scientist,5,108797
Country Manager,6,150129
C-level,2,48432
Marketing Specialist,10,997766
Senior Consultant,10,995920
Junior Consultant,5,108253
Senior Partner,5,108136
CEO,6,146623
HR Manager,5,106766
C-level,4,81915
Partner,10,1000894
Software Engineer,5,109297
Financial Analyst,6,154325
Sales Director,6,150305
Software Engineer,1,44699
UX/UI Designer,5,111590
Data Scientist,4,78590
Marketing Specialist,9,503273
Product Manager,8,297957
UX/UI Designer,9,497608
Senior Consultant,9,500863
Software Engineer,5,114473
Operations Manager,9,497824
Financial Analyst,8,303310
Country Manager,4,75726
Business Analyst,10,1002525
C-level,9,500131
Partner,3,56361
Operations Manager,8,295459
Manager,3,63258
Financial Analyst,3,60172
HR Manager,5,114003
Software Engineer,7,196314
Partner,9,499925
Product Manager,2,46612
CEO,2,46986
Software Engineer,8,299657
Software Engineer,7,203489
CEO,9,503601
UX/UI Designer,2,50997
Country Manager,4,75733
Sales Director,9,496039
Senior Partner,4,84274
